DATE,ATNHPIUS11180Q
1986-10-01,67.65
1987-01-01,67.98
1987-04-01,70.5
1987-07-01,68.95
1987-10-01,69.43
1988-01-01,68.23
1988-04-01,72.22
1988-07-01,71.32
1988-10-01,71.70
1989-01-01,73.57
1989-04-01,71.11
1989-07-01,74.61
1989-10-01,74.65
1990-01-01,76.17
1990-04-01,76.54
1990-07-01,78.73
1990-10-01,78.87
1991-01-01,81.25
1991-04-01,80.3
1991-07-01,82.17
1991-10-01,84.57
1992-01-01,85.03
1992-04-01,85.84
1992-07-01,88.48
1992-10-01,87.76
1993-01-01,90.17
1993-04-01,91.13
1993-07-01,93.34
1993-10-01,94.12
1994-01-01,95.13
1994-04-01,99.21
1994-07-01,98.48
1994-10-01,100.24
1995-01-01,100.00
1995-04-01,101.88
1995-07-01,105.62
1995-10-01,105.86
1996-01-01,106.10
1996-04-01,108.58
1996-07-01,109.03
1996-10-01,108.52
1997-01-01,112.86
1997-04-01,114.62
1997-07-01,114.86
1997-10-01,116.56
1998-01-01,116.71
1998-04-01,118.28
1998-07-01,121.59
1998-10-01,122.54
1999-01-01,123.28
1999-04-01,125.78
1999-07-01,126.46
1999-10-01,125.82
2000-01-01,126.5
2000-04-01,129.30
2000-07-01,131.18
2000-10-01,132.38
2001-01-01,134.2
2001-04-01,136.14
2001-07-01,137.40
2001-10-01,138.90
2002-01-01,140.17
2002-04-01,139.71
2002-07-01,142.29
2002-10-01,143.42
2003-01-01,143.91
2003-04-01,144.75
2003-07-01,147.38
2003-10-01,151.37
2004-01-01,151.36
2004-04-01,154.05
2004-07-01,155.01
2004-10-01,155.36
2005-01-01,156.35
2005-04-01,159.18
2005-07-01,162.63
2005-10-01,162.37
2006-01-01,162.98
2006-04-01,163.96
2006-07-01,162.3
2006-10-01,164.46
2007-01-01,165.88
2007-04-01,168.83
2007-07-01,167.47
2007-10-01,168.47
2008-01-01,169.45
2008-04-01,167.14
2008-07-01,166.61
2008-10-01,167.19
2009-01-01,169.39
2009-04-01,168.45
2009-07-01,166.47
2009-10-01,167.38
2010-01-01,163.06
2010-04-01,166.72
2010-07-01,167.04
2010-10-01,167.7
2011-01-01,163.22
2011-04-01,162.23
2011-07-01,166.21
2011-10-01,166.39
2012-01-01,166
2012-04-01,165.1
2012-07-01,167
2012-10-01,167.99
2013-01-01,169.15
2013-04-01,169.48
2013-07-01,171.35
2013-10-01,175.71
2014-01-01,172.04
2014-04-01,176.13
2014-07-01,179.09
2014-10-01,180.35
2015-01-01,179.12
2015-04-01,182.94
2015-07-01,184.08
2015-10-01,185.72
2016-01-01,187.1
2016-04-01,191.47
2016-07-01,191.63
2016-10-01,194.02
2017-01-01,192.25
2017-04-01,199.89
2017-07-01,202.75
2017-10-01,201.43
2018-01-01,199.81
2018-04-01,207.16
2018-07-01,206.24
2018-10-01,204.95
2019-01-01,208.19
2019-04-01,212.37
2019-07-01,213.99
2019-10-01,214.96
2020-01-01,216.19
2020-04-01,216.99
2020-07-01,219.09
2020-10-01,220.64
2021-01-01,223.66
2021-04-01,236.25
2021-07-01,241.43
2021-10-01,249.27
2022-01-01,246.63
2022-04-01,271.93
2022-07-01,277.04
2022-10-01,272.01
2023-01-01,277.64
2023-04-01,287.84
2023-07-01,295.87
